192.168.1.148 - - [02/Sep/2025:02:39:43 +0000] "GET /identity/v3/role_assignments?role.id=099839105f9e49078a0eb6a16a629854&scope.project.id=475016eaff3c4fbcac6aed915131499d&user.id=c3ff91652bd942c8bd73d5069bacf5f8 HTTP/1.1" 200 860 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/roles/member HTTP/1.1" 404 336 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/roles?name=member HTTP/1.1" 200 593 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/users/c3ff91652bd942c8bd73d5069bacf5f8 HTTP/1.1" 200 524 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/projects/4a992813abc3457888db461ed359a371 HTTP/1.1" 200 561 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/role_assignments?role.id=19ac34f318b94ce395ebb89a4a4c9217&scope.project.id=4a992813abc3457888db461ed359a371&user.id=c3ff91652bd942c8bd73d5069bacf5f8 HTTP/1.1" 200 860 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/roles/reader HTTP/1.1" 404 336 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/roles?name=reader HTTP/1.1" 200 593 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/users/758c9891fbc145f5b41144578ed65647 HTTP/1.1" 200 538 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/projects/475016eaff3c4fbcac6aed915131499d HTTP/1.1" 200 547 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "PUT /identity/v3/projects/475016eaff3c4fbcac6aed915131499d/users/758c9891fbc145f5b41144578ed65647/roles/2fc4dd4ce48b45e0bcef3dfd172b4329 HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "POST /identity/v3/projects HTTP/1.1" 201 556 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/roles/reader HTTP/1.1" 404 336 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/roles?name=reader HTTP/1.1" 200 593 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/users/758c9891fbc145f5b41144578ed65647 HTTP/1.1" 200 538 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:44 +0000] "GET /identity/v3/projects/475016eaff3c4fbcac6aed915131499d HTTP/1.1" 200 547 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
